"index","news","date"
1,"CBN’s lending to banks rises 466 % to N268bn","
November06,2023"
1,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","
November06,2023"
1,"How small businesses can adopt modern strategies, survive Nigerian market","
November06,2023"
1,"Optiva Capital is the market leader in investment immigration services – Okeke","
November06,2023"
1,"Forex: Dangote repatriates $687,977m from pan-African operations","
November06,2023"
1,"Managing tax issues in a small business, by Etireri","
November06,2023"
1,"Dangote Cement posts 15.2% increase in pan-African volumes","
November06,2023"
1,"Forex gains: Banks’ profits balloon by 156% to N2.3trn","
November06,2023"
1,"CBN Gov, Cardoso vows to fight inflation","
November06,2023"
1,"Stock market investors gain N1.7trn in 5 days","
November06,2023"
1,"Air Peace to begin London operations","
November04,2023"
1,"We deployed 830,292 meters in 10 years – Ikeja Electric","
November03,2023"
1,"Maersk to slash 3,500 jobs as profits, revenue plunge","
November03,2023"
1,"New Shippers’ Council boss resumes","
November03,2023"
1,"British International Investment votes $26.5m for food  security in Nigeria, others","
November03,2023"
1,"Tinubu to flag off conference for 24 littoral African countries in Nigeria","
November03,2023"
1,"We ‘ve enough Naira notes — CBN","
November03,2023"
1,"Electricity: Policy flip-flop threatens $155m smart metres project","
November03,2023"
1,"Foreign portfolio investment inflow falls 31.9% to N108.9bn","
November03,2023"
1,"Apple sales fall for fourth straight quarter","
November02,2023"
1,"NPA: Enhancing economic growth through efficient port operation","
November02,2023"
1,"One truck park functional at Lekki Port","
November02,2023"
1,"NIMASA warns of threat Biofouling poses to Nigeria’s Blue economy","
November02,2023"
2,"CBN’s lending to banks rises 466 % to N268bn","
November06,2023"
2,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","
November06,2023"
2,"How small businesses can adopt modern strategies, survive Nigerian market","
November06,2023"
2,"Call Up Technology takes over truck traffic management at Lekki – Epe Corridor","
November02,2023"
2,"JP Morgan projects Naira to trade at N850/$ by December","
November02,2023"
2,"SDGs: Industry experts lament annual funding shortfall","
November02,2023"
2,"Incentive for investment immigration, 2nd passport, citizenship is increasing — Optiva Capital","
November02,2023"
2,"Forex turnover rises 23% at NAFEM as exchange rate stabilises  ","
November02,2023"
2,"Forex volatility forces Guinness to drop some products","
November02,2023"
2,"INSURANCE: Weakening purchasing power affects individual life policies","
November02,2023"
2,"Calabar port can grow Nigeria-Central Africa trade – Ikom Chamber boss","
November01,2023"
2,"Controversy emerges over cargo scanners","
November01,2023"
2,"Uproar as Nigerian stock market hits all-time high, crosses 70,000 mark","
November01,2023"
2,"Smugglers shift operations from borders to waterways","
November01,2023"
2,"We look forward to exporting our Marine services, products — Fregene","
November01,2023"
2,"Noor Takaful Insurance declares N478m profit","
October31,2023"
2,"Declining disposable income depresses FGN Savings Bond","
October31,2023"
2,"Nigeria requires policies to spur local, foreign investment – NBCC","
October31,2023"
2,"Price of rice increases 60%, yam 45% as transport fare spikes — NBS","
October31,2023"
2,"Naira depreciation ’ll affect volume of imports — Stakeholders","
October30,2023"
2,"Net foreign exchange inflow falls 54% to $7.29bn in H1’23","
October30,2023"
2,"Technology key to insurance industry growth —NAICOM","
October30,2023"
2,"FG commits to scaling up Nigeria’s global port rating","
October30,2023"
3,"CBN’s lending to banks rises 466 % to N268bn","
November06,2023"
3,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","
November06,2023"
3,"How small businesses can adopt modern strategies, survive Nigerian market","
November06,2023"
3,"Transcorp Hotels grows profit by 62% to N5.5bn","
October30,2023"
3,"DataPro charts options for sub-national infrastructure devt","
October29,2023"
3,"Transcorp Hotels grows profit by 62% to N5.5bn","
October27,2023"
3,"Naira now N1,300/$ in parallel market","
October27,2023"
3,"Senate to amend CBN Act, bars governor from partisan politics","
October26,2023"
3,"Domestic capital market, not foreign borrowing can fix infrastructure gap in Nigeria — VP Shetima ","
October26,2023"
3,"Tax exemptions, waivers to cost FG N12.4trn in 4 years","
October25,2023"
3,"Nigeria needs $10bn annually to fund SDGs — FG","
October25,2023"
3,"Why FG must restrict solid minerals export   – MMNL boss","
October25,2023"
3,"Stanbic IBTC Pension offers N32m reward in  FUZE Talent Hunt","
October25,2023"
3,"FG reduces port terminal charges by 33% ","
October25,2023"
3,"Africa’s millionaires to hit 195,000 by 2032 – Report ","
October24,2023"
3,"FX Pressure: $10bn inflow coming in weeks-Finance Minister","
October24,2023"
3,"Fuel price rises 226.75% to N626.21 per litre — Report","
October24,2023"
3,"FRC advocates improvement in Governance, Risk, Compliance activities","
October24,2023"
3,"States, FCT grow IGR by 1.6% to N1.9 trn in 2022","
October24,2023"
3,"Nigeria records 33.58% reduction in fuel consumption, says NMDPRA boss","
October24,2023"
3,"Oil market: We need $14trn investment to meet global demand —Al Ghais","
October24,2023"
3,"Oil market: We need $14trn investment to meet global demand —Al Ghais","
October24,2023"
3,"How Nigeria missed out on high gas demand windfall —FG","
October24,2023"
4,"CBN’s lending to banks rises 466 % to N268bn","
November06,2023"
4,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","
November06,2023"
4,"How small businesses can adopt modern strategies, survive Nigerian market","
November06,2023"
4,"How Nigeria missed out on high gas demand windfall —FG","
October24,2023"
4,"Nigeria needs $3trn investment to sustain economic growth   — AfDB","
October24,2023"
4,"P&ID judgment removed risks to Nigeria’s assets abroad – AGF","
October23,2023"
4,"Nigeria’s petrol daily consumption reduces by 33.58% — NMDPRA","
October23,2023"
4,"High cost of borrowing: FG targets domestic market to fund N9.05trn budget deficit","
October23,2023"
4,"Enabling policies, infrastructure key to attracting foreign investments — KPMG","
October23,2023"
4,"ABCON presents pathway to exchange rate stability, forex market liquidity","
October23,2023"
4,"CISI develops pathway for sustainable green, climate finance","
October23,2023"
4,"Nigeria’s economy on “warning” status, SBM index reveals","
October23,2023"
4,"Naira free fall was inevitable but all hope not lost — Uviase, Ecovis OUC boss","
October22,2023"
4,"INFRASTRUCTURAL DEVT: How credit rating agencies influence investment decisions—Yuguda, SEC DG","
October22,2023"
4,"FG records N1.3 trn revenue shortfall","
October21,2023"
4,"Currency outside banks hits N2.35trn","
October20,2023"
4,"Why naira is weak – ex-finance minister Aganga","
October20,2023"
4,"Petrol scarcity: Queues grow longer as depots dry up","
October20,2023"
4,"Tinubu appoints Olasupo Olusi as new MD, Bank of Industry","
October20,2023"
4,"REA, AMDA sign deal to boost mini-grid deployments","
October20,2023"
4,"Nigeria must boost non-oil export earnings to saveNaira, says Aganga","
October20,2023"
4,"DisCos reduce collection losses to 38.4% in Q2’23","
October20,2023"
4,"Naira hits new low, 1060/$ as MAN kicks at policy reversal","
October19,2023"
5,"CBN’s lending to banks rises 466 % to N268bn","
November06,2023"
5,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","
November06,2023"
5,"How small businesses can adopt modern strategies, survive Nigerian market","
November06,2023"
5,"Nigeria signs deal with Afreximbank to fund $200m LNG project","
October19,2023"
5,"Naira hits new low, 1060/$ as MAN kicks at policy reversal","
October19,2023"
