,news,date
0,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
1,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
2,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
3,Optiva Capital is the market leader in investment immigration services – Okeke,"November06,2023"
4,"Forex: Dangote repatriates $687,977m from pan-African operations","November06,2023"
5,"Managing tax issues in a small business, by Etireri","November06,2023"
6,Dangote Cement posts 15.2% increase in pan-African volumes,"November06,2023"
7,Forex gains: Banks’ profits balloon by 156% to N2.3trn,"November06,2023"
8,"CBN Gov, Cardoso vows to fight inflation","November06,2023"
9,Stock market investors gain N1.7trn in 5 days,"November06,2023"
10,Air Peace to begin London operations,"November04,2023"
11,"We deployed 830,292 meters in 10 years – Ikeja Electric","November03,2023"
12,"Maersk to slash 3,500 jobs as profits, revenue plunge","November03,2023"
13,New Shippers’ Council boss resumes,"November03,2023"
14,"British International Investment votes $26.5m for food  security in Nigeria, others","November03,2023"
15,Tinubu to flag off conference for 24 littoral African countries in Nigeria,"November03,2023"
16,We ‘ve enough Naira notes — CBN,"November03,2023"
17,Electricity: Policy flip-flop threatens $155m smart metres project,"November03,2023"
18,Foreign portfolio investment inflow falls 31.9% to N108.9bn,"November03,2023"
19,Apple sales fall for fourth straight quarter,"November02,2023"
20,NPA: Enhancing economic growth through efficient port operation,"November02,2023"
21,One truck park functional at Lekki Port,"November02,2023"
22,NIMASA warns of threat Biofouling poses to Nigeria’s Blue economy,"November02,2023"
23,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
24,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
25,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
26,Call Up Technology takes over truck traffic management at Lekki – Epe Corridor,"November02,2023"
27,JP Morgan projects Naira to trade at N850/$ by December,"November02,2023"
28,SDGs: Industry experts lament annual funding shortfall,"November02,2023"
29,"Incentive for investment immigration, 2nd passport, citizenship is increasing — Optiva Capital","November02,2023"
30,Forex turnover rises 23% at NAFEM as exchange rate stabilises  ,"November02,2023"
31,Forex volatility forces Guinness to drop some products,"November02,2023"
32,INSURANCE: Weakening purchasing power affects individual life policies,"November02,2023"
33,Calabar port can grow Nigeria-Central Africa trade – Ikom Chamber boss,"November01,2023"
34,Controversy emerges over cargo scanners,"November01,2023"
35,"Uproar as Nigerian stock market hits all-time high, crosses 70,000 mark","November01,2023"
36,Smugglers shift operations from borders to waterways,"November01,2023"
37,"We look forward to exporting our Marine services, products — Fregene","November01,2023"
38,Noor Takaful Insurance declares N478m profit,"October31,2023"
39,Declining disposable income depresses FGN Savings Bond,"October31,2023"
40,"Nigeria requires policies to spur local, foreign investment – NBCC","October31,2023"
41,"Price of rice increases 60%, yam 45% as transport fare spikes — NBS","October31,2023"
42,Naira depreciation ’ll affect volume of imports — Stakeholders,"October30,2023"
43,Net foreign exchange inflow falls 54% to $7.29bn in H1’23,"October30,2023"
44,Technology key to insurance industry growth —NAICOM,"October30,2023"
45,FG commits to scaling up Nigeria’s global port rating,"October30,2023"
46,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
47,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
48,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
49,Transcorp Hotels grows profit by 62% to N5.5bn,"October30,2023"
50,DataPro charts options for sub-national infrastructure devt,"October29,2023"
51,Transcorp Hotels grows profit by 62% to N5.5bn,"October27,2023"
52,"Naira now N1,300/$ in parallel market","October27,2023"
53,"Senate to amend CBN Act, bars governor from partisan politics","October26,2023"
54,"Domestic capital market, not foreign borrowing can fix infrastructure gap in Nigeria — VP Shetima ","October26,2023"
55,"Tax exemptions, waivers to cost FG N12.4trn in 4 years","October25,2023"
56,Nigeria needs $10bn annually to fund SDGs — FG,"October25,2023"
57,Why FG must restrict solid minerals export   – MMNL boss,"October25,2023"
58,Stanbic IBTC Pension offers N32m reward in  FUZE Talent Hunt,"October25,2023"
59,FG reduces port terminal charges by 33% ,"October25,2023"
60,"Africa’s millionaires to hit 195,000 by 2032 – Report ","October24,2023"
61,FX Pressure: $10bn inflow coming in weeks-Finance Minister,"October24,2023"
62,Fuel price rises 226.75% to N626.21 per litre — Report,"October24,2023"
63,"FRC advocates improvement in Governance, Risk, Compliance activities","October24,2023"
64,"States, FCT grow IGR by 1.6% to N1.9 trn in 2022","October24,2023"
65,"Nigeria records 33.58% reduction in fuel consumption, says NMDPRA boss","October24,2023"
66,Oil market: We need $14trn investment to meet global demand —Al Ghais,"October24,2023"
67,Oil market: We need $14trn investment to meet global demand —Al Ghais,"October24,2023"
68,How Nigeria missed out on high gas demand windfall —FG,"October24,2023"
69,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
70,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
71,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
72,How Nigeria missed out on high gas demand windfall —FG,"October24,2023"
73,Nigeria needs $3trn investment to sustain economic growth   — AfDB,"October24,2023"
74,P&ID judgment removed risks to Nigeria’s assets abroad – AGF,"October23,2023"
75,Nigeria’s petrol daily consumption reduces by 33.58% — NMDPRA,"October23,2023"
76,High cost of borrowing: FG targets domestic market to fund N9.05trn budget deficit,"October23,2023"
77,"Enabling policies, infrastructure key to attracting foreign investments — KPMG","October23,2023"
78,"ABCON presents pathway to exchange rate stability, forex market liquidity","October23,2023"
79,"CISI develops pathway for sustainable green, climate finance","October23,2023"
80,"Nigeria’s economy on “warning” status, SBM index reveals","October23,2023"
81,"Naira free fall was inevitable but all hope not lost — Uviase, Ecovis OUC boss","October22,2023"
82,"INFRASTRUCTURAL DEVT: How credit rating agencies influence investment decisions—Yuguda, SEC DG","October22,2023"
83,FG records N1.3 trn revenue shortfall,"October21,2023"
84,Currency outside banks hits N2.35trn,"October20,2023"
85,Why naira is weak – ex-finance minister Aganga,"October20,2023"
86,Petrol scarcity: Queues grow longer as depots dry up,"October20,2023"
87,"Tinubu appoints Olasupo Olusi as new MD, Bank of Industry","October20,2023"
88,"REA, AMDA sign deal to boost mini-grid deployments","October20,2023"
89,"Nigeria must boost non-oil export earnings to saveNaira, says Aganga","October20,2023"
90,DisCos reduce collection losses to 38.4% in Q2’23,"October20,2023"
91,"Naira hits new low, 1060/$ as MAN kicks at policy reversal","October19,2023"
92,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
93,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
94,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
95,Nigeria signs deal with Afreximbank to fund $200m LNG project,"October19,2023"
96,"Naira hits new low, 1060/$ as MAN kicks at policy reversal","October19,2023"
97,"The Alternative Bank debuts, introduces unusual approach to e-commerce","October19,2023"
98,"Heirs Holdings’ Oil & Gas becomes Heirs Energies, strategises for growth","October19,2023"
99,Why terminal operators jerked up charges — Farinto,"October19,2023"
100,Naira depreciation forces insurance firms to breach local content law,"October19,2023"
101,"Naira depreciates to N1,175/$ in parallel market","October19,2023"
102,"Regional integration key to energy transition in Africa, says Oando boss","October19,2023"
103,"How blockchain, crypto simplify financial transactions — BitBarter boss","October19,2023"
104,Why Nigeria’s socio-economic progress is slow – NESG,"October18,2023"
105,Shippers Council intervenes to avert ports shut down,"October18,2023"
106,Electricity: Operators call for cooperation to improve supply to customers,"October18,2023"
107,CBN to penalize banks with cheque processing errors from Nov 1st,"October18,2023"
108,"Access Bank, Visa partner to facilitate B2B cross-border payment","October18,2023"
109,"Axe dangles as Rolls-Royce targets 2,500 jobs to cut cost  ","October17,2023"
110,"PDP, LP fire FG as costs of food items drive inflation to 26.7%","October17,2023"
111,Bonny Light price leaps to $92.24 per barrel on positive forecast,"October17,2023"
112,"Transparency, integrity index: Why DBN emerged ’23 highest-ranked","October17,2023"
113,"NDPHC assures of reliable, cost-effective power supply to industrial clusters, homes","October17,2023"
114,UBA positioned to facilitate business in Africa  — Alawuba,"October17,2023"
115,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
116,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
117,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
118,Stakeholders harp on collaboration for effective NPPM implementation,"October17,2023"
119,Tinubu secures $1.5bn zero-interest World Bank loan,"October16,2023"
120,Inflation rate rises to 26.72% in September,"October16,2023"
121,Standard Chartered projects $1trn Africa export trade by 2035,"October16,2023"
122,Group decries lull in economic activities in South East,"October16,2023"
123,Foreign investments in manufacturing up 88% to $861m,"October16,2023"
124,Stock market responds positively to new FX policy,"October16,2023"
125,Financial markets in contradictory response to new FX policy,"October14,2023"
126,"Nigeria’s economic reforms must be holistic, IMF insists","October14,2023"
127,"Nigeria’s rig count rises 61% to 29 as investors respond to PIA, others — NUPRC","October14,2023"
128,Nigeria’s economic reforms target 1 trn dollars GDP growth in 8 years — Cardoso,"October12,2023"
129,"Inflation: Protect poor people from high energy prices, IMF tells FG","October12,2023"
130,Foreign investors scale down equity stake to N37bn on political concerns,"October12,2023"
131,"Divestment: FG expresses optimism over ExxonMobil, Eni oil deals, wooing investors","October11,2023"
132,IMF raises alarm over rising inflation,"October11,2023"
133,Access Bank’s ‘W’ Initiative unveils 5th edition ,"October11,2023"
134,ETK Group canvasses ESG framework to drive growth in businesses,"October11,2023"
135,"Petrol stations shutting down, marketers warn","October11,2023"
136,FG to cut number of taxes to 9,"October11,2023"
137,FG to reduce taxes from 62 to single digit — Oyedele,"October10,2023"
138,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
139,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
140,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
141,AEDC to supply meters at old price paid by customers,"October10,2023"
142,"FCMB rolls out services for wealth growth, financial well-being","October10,2023"
143,NGX Group announces key board changes across subsidiaries,"October10,2023"
144,eNaira no threat to financial stability — CBN,"October10,2023"
145,CBN reduces cash mop by 82% to N150bn,"October09,2023"
146,SecondSTAX links NGX to drive institutional ,"October09,2023"
147,NPA vows to eradicate corruption in ports with NPPM implementation,"October09,2023"
148,Stock market sustains volatility as investors await new policies,"October09,2023"
149,FCMB designs financial solutions suite,"October09,2023"
150,Bankers protest sack of colleagues,"October09,2023"
151,"Three Nigerians, other Africans among PMI’s 50 standout professional global leaders","October08,2023"
152,PSTT FG agency of complicity in Oshodi/Apapa gridlock extortion,"October06,2023"
153,Customs brokers protest alleged 200% increase in duty,"October06,2023"
154,"Stakeholders advocate embedded model, tech adoption to drive insurance","October06,2023"
155,FG’s Sukuk Bond funding to hit N1trn with fresh N150bn,"October06,2023"
156,"NDIC disburses N1bn to depositors of failed PMBs, MfBs","October06,2023"
157,UBA grooms future professionals across Africa in graduate mgt program,"October06,2023"
158,Why FEC rejected applications for renewal of port concession agreements,"October05,2023"
159,"Nigeria’s maritime infrastructure, institutions’ data non-competitive, non verifiable – Ex-Shippers Council boss","October05,2023"
160,Customs assures Polish investors trade facilitation ,"October05,2023"
161,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
